Place,Geo,Date,Source,Median Income
Maine,State,1990,P080A STF3,$27854
"Androscoggin County,Maine",County,1990,P080A STF3,$26979
"Aroostook County,Maine",County,1990,P080A STF3,$22230
"Cumberland County,Maine",County,1990,P080A STF3,$32286
"Franklin County,Maine",County,1990,P080A STF3,$24432
"Hancock County,Maine",County,1990,P080A STF3,$25247
"Kennebec County,Maine",County,1990,P080A STF3,$28616
"Knox County,Maine",County,1990,P080A STF3,$25405
"Lincoln County,Maine",County,1990,P080A STF3,$28373
"Oxford County,Maine",County,1990,P080A STF3,$24535
"Penobscot County,Maine",County,1990,P080A STF3,$26631
"Piscataquis County,Maine",County,1990,P080A STF3,$22132
"Sagadahoc County,Maine",County,1990,P080A STF3,$31948
"Somerset County,Maine",County,1990,P080A STF3,$22829
"Waldo County,Maine",County,1990,P080A STF3,$23148
"Washington County,Maine",County,1990,P080A STF3,$20003
"York County,Maine",County,1990,P080A STF3,$32432
"Abbot town, Piscataquis County,Maine",Town,1990,P080A STF3,$23125
"Acton town, York County,Maine",Town,1990,P080A STF3,$29836
"Addison town, Washington County,Maine",Town,1990,P080A STF3,$17028
"Albion town, Kennebec County,Maine",Town,1990,P080A STF3,$25655
"Alexander town, Washington County,Maine",Town,1990,P080A STF3,$22778
"Alfred town, York County,Maine",Town,1990,P080A STF3,$31576
"Allagash town, Aroostook County,Maine",Town,1990,P080A STF3,$11630
"Alna town, Lincoln County,Maine",Town,1990,P080A STF3,$30750
"Alton town, Penobscot County,Maine",Town,1990,P080A STF3,$29500
"Amherst town, Hancock County,Maine",Town,1990,P080A STF3,$23958
"Amity town, Aroostook County,Maine",Town,1990,P080A STF3,$22969
"Andover town, Oxford County,Maine",Town,1990,P080A STF3,$23693
"Anson town, Somerset County,Maine",Town,1990,P080A STF3,$22500
"Appleton town, Knox County,Maine",Town,1990,P080A STF3,$25455
"Argyle unorg., Penobscot County,Maine",Town,1990,P080A STF3,$25156
"Arrowsic town, Sagadahoc County,Maine",Town,1990,P080A STF3,$36250
"Arundel town, York County,Maine",Town,1990,P080A STF3,$33098
"Ashland town, Aroostook County,Maine",Town,1990,P080A STF3,$25268
"Athens town, Somerset County,Maine",Town,1990,P080A STF3,$18750
"Atkinson town, Piscataquis County,Maine",Town,1990,P080A STF3,$29583
"Auburn city, Androscoggin County,Maine",Town,1990,P080A STF3,$27493
"Augusta city, Kennebec County,Maine",Town,1990,P080A STF3,$25790
"Aurora town, Hancock County,Maine",Town,1990,P080A STF3,$17500
"Avon town, Franklin County,Maine",Town,1990,P080A STF3,$17279
